Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16,DateTime,received_at
11/03/2004,06.00.00,0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,,,2004-03-11T06:00:00,2025-04-04T13:26:20.481982
11/03/2004,07.00.00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,,,2004-03-11T07:00:00,2025-04-04T13:26:20.591831
11/03/2004,08.00.00,2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,,,2004-03-11T08:00:00,2025-04-04T13:26:20.699461
11/03/2004,09.00.00,2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,,,2004-03-11T09:00:00,2025-04-04T13:26:20.808721
11/03/2004,10.00.00,1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,,,2004-03-11T10:00:00,2025-04-04T13:26:20.916689
11/03/2004,11.00.00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,,,2004-03-11T11:00:00,2025-04-04T13:26:21.025658
11/03/2004,12.00.00,1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,,,2004-03-11T12:00:00,2025-04-04T13:26:21.134293
11/03/2004,13.00.00,1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,,,2004-03-11T13:00:00,2025-04-04T13:26:21.242331
11/03/2004,14.00.00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,,,2004-03-11T14:00:00,2025-04-04T13:26:21.350529
11/03/2004,15.00.00,2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,,,2004-03-11T15:00:00,2025-04-04T13:26:21.461553
11/03/2004,16.00.00,2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,,,2004-03-11T16:00:00,2025-04-04T13:26:21.567845
11/03/2004,17.00.00,2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,,,2004-03-11T17:00:00,2025-04-04T13:26:21.675954
11/03/2004,18.00.00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,,,2004-03-11T18:00:00,2025-04-04T13:26:21.785623
11/03/2004,19.00.00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,,,2004-03-11T19:00:00,2025-04-04T13:26:21.893809
11/03/2004,20.00.00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,,,2004-03-11T20:00:00,2025-04-04T13:26:22.001515
11/03/2004,21.00.00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,,,2004-03-11T21:00:00,2025-04-04T13:26:22.109564
11/03/2004,22.00.00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,,,2004-03-11T22:00:00,2025-04-04T13:26:22.218325
11/03/2004,23.00.00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,,,2004-03-11T23:00:00,2025-04-04T13:26:22.326666
12/03/2004,00.00.00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,,,2004-03-12T00:00:00,2025-04-04T13:26:22.435838
12/03/2004,01.00.00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,,,2004-03-12T01:00:00,2025-04-04T13:26:22.544633
12/03/2004,02.00.00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,,,2004-03-12T02:00:00,2025-04-04T13:26:22.652355
12/03/2004,03.00.00,0.8,889.0,21.0,1.9,574.0,82.0,1680.0,91.0,1187.0,512.0,7.0,62.3,0.6261,,,2004-03-12T03:00:00,2025-04-04T13:26:22.760301
12/03/2004,04.00.00,0.8,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,,,2004-03-12T04:00:00,2025-04-04T13:26:22.869672
12/03/2004,05.00.00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,,,2004-03-12T05:00:00,2025-04-04T13:26:22.978198
12/03/2004,06.00.00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,,,2004-03-12T06:00:00,2025-04-04T13:26:23.087773
12/03/2004,07.00.00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,,,2004-03-12T07:00:00,2025-04-04T13:26:23.192831
12/03/2004,08.00.00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,,,2004-03-12T08:00:00,2025-04-04T13:26:23.299265
12/03/2004,09.00.00,4.4,1545.0,202.0,22.1,1353.0,307.0,767.0,141.0,2058.0,1588.0,9.2,56.2,0.6561,,,2004-03-12T09:00:00,2025-04-04T13:26:23.408009
12/03/2004,10.00.00,3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,,,2004-03-12T10:00:00,2025-04-04T13:26:23.516187
12/03/2004,11.00.00,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,,,2004-03-12T11:00:00,2025-04-04T13:26:23.624601
12/03/2004,12.00.00,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,,,2004-03-12T12:00:00,2025-04-04T13:26:23.727706
12/03/2004,13.00.00,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,,,2004-03-12T13:00:00,2025-04-04T13:26:23.830609
12/03/2004,14.00.00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,,,2004-03-12T14:00:00,2025-04-04T13:26:23.938955
12/03/2004,15.00.00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,,,2004-03-12T15:00:00,2025-04-04T13:26:24.047034
12/03/2004,16.00.00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,,,2004-03-12T16:00:00,2025-04-04T13:26:24.156032
12/03/2004,17.00.00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,,,2004-03-12T17:00:00,2025-04-04T13:26:24.263844
12/03/2004,18.00.00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,,,2004-03-12T18:00:00,2025-04-04T13:26:24.367004
12/03/2004,19.00.00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,,,2004-03-12T19:00:00,2025-04-04T13:26:24.475010
12/03/2004,20.00.00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,,,2004-03-12T20:00:00,2025-04-04T13:26:24.583467
12/03/2004,21.00.00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,,,2004-03-12T21:00:00,2025-04-04T13:26:24.693013
12/03/2004,22.00.00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,,,2004-03-12T22:00:00,2025-04-04T13:26:24.801131
12/03/2004,23.00.00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,,,2004-03-12T23:00:00,2025-04-04T13:26:24.909127
13/03/2004,00.00.00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,,,2004-03-13T00:00:00,2025-04-04T13:26:25.016932
13/03/2004,01.00.00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,,,2004-03-13T01:00:00,2025-04-04T13:26:25.125489
13/03/2004,02.00.00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,,,2004-03-13T02:00:00,2025-04-04T13:26:25.234092
13/03/2004,03.00.00,1.7,1172.0,46.0,5.4,783.0,83.0,1179.0,82.0,1380.0,996.0,7.8,67.5,0.7173,,,2004-03-13T03:00:00,2025-04-04T13:26:25.343647
13/03/2004,04.00.00,1.7,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,,,2004-03-13T04:00:00,2025-04-04T13:26:25.451513
13/03/2004,05.00.00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,,,2004-03-13T05:00:00,2025-04-04T13:26:25.559196
13/03/2004,06.00.00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,,,2004-03-13T06:00:00,2025-04-04T13:26:25.669709
13/03/2004,07.00.00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,,,2004-03-13T07:00:00,2025-04-04T13:26:25.778906
13/03/2004,08.00.00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,,,2004-03-13T08:00:00,2025-04-04T13:26:25.882374
13/03/2004,09.00.00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,,,2004-03-13T09:00:00,2025-04-04T13:26:25.986602
13/03/2004,10.00.00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,,,2004-03-13T10:00:00,2025-04-04T13:26:26.092039
13/03/2004,11.00.00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,,,2004-03-13T11:00:00,2025-04-04T13:26:26.200633
13/03/2004,12.00.00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,,,2004-03-13T12:00:00,2025-04-04T13:26:26.306668
13/03/2004,13.00.00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,,,2004-03-13T13:00:00,2025-04-04T13:26:26.410917
13/03/2004,14.00.00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,,,2004-03-13T14:00:00,2025-04-04T13:26:26.515144
13/03/2004,15.00.00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,,,2004-03-13T15:00:00,2025-04-04T13:26:26.618460
13/03/2004,16.00.00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,,,2004-03-13T16:00:00,2025-04-04T13:26:26.721336
13/03/2004,17.00.00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,,,2004-03-13T17:00:00,2025-04-04T13:26:26.824689
13/03/2004,18.00.00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,,,2004-03-13T18:00:00,2025-04-04T13:26:26.933317
13/03/2004,19.00.00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,,,2004-03-13T19:00:00,2025-04-04T13:26:27.043650
13/03/2004,20.00.00,4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,,,2004-03-13T20:00:00,2025-04-04T13:26:27.147864
13/03/2004,21.00.00,4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,,,2004-03-13T21:00:00,2025-04-04T13:26:27.253638
13/03/2004,22.00.00,3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,,,2004-03-13T22:00:00,2025-04-04T13:26:27.358076
13/03/2004,23.00.00,2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,,,2004-03-13T23:00:00,2025-04-04T13:26:27.462560
14/03/2004,00.00.00,2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,,,2004-03-14T00:00:00,2025-04-04T13:26:27.568870
14/03/2004,01.00.00,2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,,,2004-03-14T01:00:00,2025-04-04T13:26:27.677675
14/03/2004,02.00.00,2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,,,2004-03-14T02:00:00,2025-04-04T13:26:27.786460
14/03/2004,03.00.00,2.4,1344.0,132.0,9.7,968.0,128.0,921.0,104.0,1620.0,1278.0,11.6,63.4,0.8674,,,2004-03-14T03:00:00,2025-04-04T13:26:27.895366
14/03/2004,04.00.00,2.4,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,,,2004-03-14T04:00:00,2025-04-04T13:26:28.004032
14/03/2004,05.00.00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,,,2004-03-14T05:00:00,2025-04-04T13:26:28.112860
14/03/2004,06.00.00,1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,,,2004-03-14T06:00:00,2025-04-04T13:26:28.221820
14/03/2004,07.00.00,0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,,,2004-03-14T07:00:00,2025-04-04T13:26:28.329916
14/03/2004,08.00.00,1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,,,2004-03-14T08:00:00,2025-04-04T13:26:28.438733
14/03/2004,09.00.00,1.6,1235.0,57.0,6.4,828.0,118.0,1055.0,83.0,1527.0,1093.0,12.4,60.0,0.8627,,,2004-03-14T09:00:00,2025-04-04T13:26:28.546953
14/03/2004,10.00.00,2.2,1332.0,129.0,8.6,923.0,144.0,952.0,98.0,1614.0,1225.0,14.5,53.1,0.8728,,,2004-03-14T10:00:00,2025-04-04T13:26:28.655842
14/03/2004,11.00.00,2.8,1445.0,148.0,10.9,1009.0,176.0,878.0,114.0,1696.0,1355.0,16.9,46.1,0.8789,,,2004-03-14T11:00:00,2025-04-04T13:26:28.762196
14/03/2004,12.00.00,2.8,1416.0,145.0,10.7,1002.0,161.0,907.0,119.0,1677.0,1262.0,19.3,38.3,0.8474,,,2004-03-14T12:00:00,2025-04-04T13:26:28.870969
14/03/2004,13.00.00,2.0,1281.0,93.0,7.5,880.0,113.0,1084.0,104.0,1525.0,980.0,21.2,31.4,0.7812,,,2004-03-14T13:00:00,2025-04-04T13:26:28.974171
14/03/2004,14.00.00,1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616,,,2004-03-14T14:00:00,2025-04-04T13:26:29.082899
14/03/2004,15.00.00,1.9,1258.0,99.0,8.2,906.0,112.0,1081.0,107.0,1511.0,900.0,21.9,29.0,0.7525,,,2004-03-14T15:00:00,2025-04-04T13:26:29.191050
14/03/2004,16.00.00,3.0,1458.0,150.0,11.9,1045.0,170.0,974.0,129.0,1646.0,1099.0,22.2,28.4,0.7516,,,2004-03-14T16:00:00,2025-04-04T13:26:29.298978
14/03/2004,17.00.00,2.9,1438.0,156.0,12.0,1051.0,180.0,943.0,128.0,1668.0,1206.0,21.3,30.8,0.7696,,,2004-03-14T17:00:00,2025-04-04T13:26:29.407866
14/03/2004,18.00.00,2.5,1478.0,122.0,12.2,1055.0,160.0,929.0,121.0,1671.0,1262.0,19.7,36.7,0.8307,,,2004-03-14T18:00:00,2025-04-04T13:26:29.516410
14/03/2004,19.00.00,4.6,1808.0,262.0,20.6,1312.0,261.0,753.0,157.0,1993.0,1698.0,18.4,41.7,0.8732,,,2004-03-14T19:00:00,2025-04-04T13:26:29.624286
14/03/2004,20.00.00,5.9,1898.0,341.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921,,,2004-03-14T20:00:00,2025-04-04T13:26:29.727166
14/03/2004,21.00.00,3.4,1560.0,214.0,14.7,1140.0,217.0,784.0,146.0,1818.0,1648.0,16.7,49.6,0.932,,,2004-03-14T21:00:00,2025-04-04T13:26:29.830204
14/03/2004,22.00.00,2.1,1324.0,100.0,9.0,940.0,146.0,924.0,121.0,1587.0,1423.0,16.3,51.0,0.9341,,,2004-03-14T22:00:00,2025-04-04T13:26:29.935518
14/03/2004,23.00.00,2.2,1349.0,79.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314,,,2004-03-14T23:00:00,2025-04-04T13:26:30.044128
15/03/2004,00.00.00,1.8,1239.0,66.0,7.4,872.0,104.0,985.0,99.0,1547.0,1250.0,14.8,54.7,0.9164,,,2004-03-15T00:00:00,2025-04-04T13:26:30.151448
15/03/2004,01.00.00,1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094,,,2004-03-15T01:00:00,2025-04-04T13:26:30.259118
15/03/2004,02.00.00,1.8,1224.0,66.0,7.0,855.0,108.0,998.0,88.0,1566.0,1149.0,13.4,61.3,0.9361,,,2004-03-15T02:00:00,2025-04-04T13:26:30.366157
15/03/2004,03.00.00,1.1,1078.0,44.0,4.4,734.0,108.0,1128.0,88.0,1487.0,1021.0,12.6,63.5,0.923,,,2004-03-15T03:00:00,2025-04-04T13:26:30.474749
15/03/2004,04.00.00,1.1,1078.0,44.0,4.0,711.0,66.0,1150.0,71.0,1468.0,1013.0,12.3,65.4,0.9351,,,2004-03-15T04:00:00,2025-04-04T13:26:30.584626
15/03/2004,05.00.00,1.0,1075.0,39.0,3.9,703.0,88.0,1156.0,74.0,1464.0,1010.0,11.9,67.4,0.9375,,,2004-03-15T05:00:00,2025-04-04T13:26:30.694390
15/03/2004,06.00.00,1.4,1157.0,51.0,6.4,830.0,138.0,1030.0,80.0,1584.0,1083.0,11.4,70.5,0.9475,,,2004-03-15T06:00:00,2025-04-04T13:26:30.796613
15/03/2004,07.00.00,2.2,1314.0,107.0,9.7,966.0,228.0,897.0,89.0,1710.0,1235.0,11.3,70.2,0.9401,,,2004-03-15T07:00:00,2025-04-04T13:26:30.899325
15/03/2004,08.00.00,5.5,1797.0,336.0,25.9,1451.0,360.0,652.0,114.0,2323.0,1680.0,12.4,63.9,0.917,,,2004-03-15T08:00:00,2025-04-04T13:26:31.008155
15/03/2004,09.00.00,8.1,1961.0,618.0,36.7,1701.0,478.0,537.0,149.0,2665.0,2184.0,14.8,54.3,0.9076,,,2004-03-15T09:00:00,2025-04-04T13:26:31.116535
15/03/2004,10.00.00,5.8,1771.0,438.0,26.6,1470.0,394.0,622.0,157.0,2262.0,1973.0,17.4,45.6,0.8993,,,2004-03-15T10:00:00,2025-04-04T13:26:31.225209
15/03/2004,11.00.00,4.2,1564.0,334.0,20.1,1300.0,319.0,710.0,155.0,2029.0,1798.0,19.8,38.5,0.8801,,,2004-03-15T11:00:00,2025-04-04T13:26:31.333794
15/03/2004,12.00.00,3.1,1430.0,221.0,14.1,1120.0,201.0,831.0,134.0,1783.0,1522.0,22.0,34.1,0.8904,,,2004-03-15T12:00:00,2025-04-04T13:26:31.441795
15/03/2004,13.00.00,2.9,1417.0,207.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096,,,2004-03-15T13:00:00,2025-04-04T13:26:31.550656
15/03/2004,14.00.00,2.9,1400.0,191.0,15.4,1162.0,159.0,838.0,111.0,1829.0,1263.0,23.9,30.0,0.8757,,,2004-03-15T14:00:00,2025-04-04T13:26:31.658838
15/03/2004,15.00.00,2.5,1317.0,185.0,12.1,1053.0,153.0,926.0,104.0,1707.0,1137.0,24.4,28.9,0.8736,,,2004-03-15T15:00:00,2025-04-04T13:26:31.761518
15/03/2004,16.00.00,2.3,1318.0,141.0,11.5,1033.0,143.0,950.0,99.0,1675.0,1068.0,24.4,29.4,0.8848,,,2004-03-15T16:00:00,2025-04-04T13:26:31.865255
15/03/2004,17.00.00,2.8,1445.0,214.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137,,,2004-03-15T17:00:00,2025-04-04T13:26:31.969436
15/03/2004,18.00.00,6.1,1917.0,471.0,32.1,1601.0,314.0,631.0,162.0,2447.0,1843.0,22.5,35.4,0.9547,,,2004-03-15T18:00:00,2025-04-04T13:26:32.072848
15/03/2004,19.00.00,8.0,2040.0,685.0,39.2,1754.0,404.0,542.0,187.0,2679.0,2122.0,20.4,42.5,1.0086,,,2004-03-15T19:00:00,2025-04-04T13:26:32.181971
15/03/2004,20.00.00,6.5,1895.0,538.0,31.0,1573.0,320.0,565.0,165.0,2443.0,1992.0,18.3,52.6,1.0945,,,2004-03-15T20:00:00,2025-04-04T13:26:32.290620
15/03/2004,21.00.00,4.2,1595.0,319.0,19.9,1294.0,256.0,678.0,145.0,2058.0,1707.0,16.7,57.4,1.0786,,,2004-03-15T21:00:00,2025-04-04T13:26:32.398783
15/03/2004,22.00.00,3.2,1439.0,224.0,15.3,1159.0,193.0,764.0,125.0,1856.0,1494.0,15.7,60.2,1.0654,,,2004-03-15T22:00:00,2025-04-04T13:26:32.508471
15/03/2004,23.00.00,1.4,1142.0,67.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058,,,2004-03-15T23:00:00,2025-04-04T13:26:32.612014
16/03/2004,00.00.00,2.1,1304.0,155.0,11.1,1019.0,127.0,852.0,103.0,1731.0,1272.0,14.1,65.7,1.0494,,,2004-03-16T00:00:00,2025-04-04T13:26:32.715987
16/03/2004,01.00.00,1.2,1074.0,49.0,5.4,784.0,79.0,1098.0,88.0,1483.0,1040.0,14.8,60.6,1.0148,,,2004-03-16T01:00:00,2025-04-04T13:26:32.819118
16/03/2004,02.00.00,0.8,968.0,29.0,2.8,640.0,43.0,1320.0,61.0,1386.0,867.0,14.8,59.2,0.9879,,,2004-03-16T02:00:00,2025-04-04T13:26:32.927801
16/03/2004,03.00.00,0.7,929.0,25.0,2.3,608.0,43.0,1376.0,61.0,1364.0,826.0,13.6,62.1,0.9636,,,2004-03-16T03:00:00,2025-04-04T13:26:33.038136
16/03/2004,04.00.00,0.7,941.0,25.0,2.6,626.0,59.0,1316.0,59.0,1373.0,840.0,12.3,66.2,0.945,,,2004-03-16T04:00:00,2025-04-04T13:26:33.140978
16/03/2004,05.00.00,0.6,937.0,17.0,2.0,585.0,38.0,1412.0,52.0,1348.0,793.0,12.8,63.2,0.9283,,,2004-03-16T05:00:00,2025-04-04T13:26:33.249379
16/03/2004,06.00.00,0.9,1017.0,27.0,3.5,681.0,82.0,1246.0,64.0,1418.0,870.0,11.2,68.5,0.9081,,,2004-03-16T06:00:00,2025-04-04T13:26:33.357621
16/03/2004,07.00.00,1.3,1171.0,50.0,5.1,770.0,99.0,1162.0,70.0,1467.0,930.0,11.0,66.5,0.8705,,,2004-03-16T07:00:00,2025-04-04T13:26:33.462537
16/03/2004,08.00.00,3.4,1541.0,218.0,16.2,1185.0,263.0,770.0,97.0,1889.0,1407.0,11.7,63.7,0.8719,,,2004-03-16T08:00:00,2025-04-04T13:26:33.571286
